id,str_resource,str_description,website,see_also_url,meta_title,meta_description,stage_list,task_list,category,college,college_display,stage_list_facet,task_list_facet
63,Terpware,"Access University licensed and discounted software packages such as Microsoft Office, Adobe Creative Suite, Matlab, Oracle, Visual Studio, SharePoint and more!",https://terpware.umd.edu/,,Access University licensed and discounted software,"software,free software,discounted software,data,database,analysis,software downloads",Develop your research idea;Fund your research;Manage your project,Plan for data collection and management;Plan for data management and IT infrastructure;Acquire equipment and software,Technology Services,UMCP,Campuswide,1::Develop your research idea;2::Fund your research;3::Manage your project,104::Plan for data collection and management;204::Plan for data management and IT infrastructure;304::Acquire equipment and software
74,Terrapin Technology Store,"Interested in buying a new computer or software package at a discounted price here on campus? How about a new iPad or iPod? Well, you're in luck. The Terrapin Technology Store is open, and is operated by the Division of Information Technology as a service to University of Maryland students, faculty, and staff.",https://it.umd.edu/terrapin-tech,,Purchase computers or software at discounted prices,"computer,equipment,sofware,iPad,iPod,technology,purchase,discounted software,",Fund your research;Manage your project,Plan for data management and IT infrastructure;Acquire equipment and software,Technology Services,UMCP,Campuswide,2::Fund your research;3::Manage your project,204::Plan for data management and IT infrastructure;304::Acquire equipment and software
14,Digital Repository at the University of Maryland (DRUM),"The Digital Repository at the University of Maryland (DRUM) collects, preserves, and provides public access to the scholarly output of the university. Faculty and researchers can upload documents, data, code, and other research products for rapid dissemination, global visibility and impact, and long-term preservation. You can track views and downloads of your research, and everything in DRUM is indexed by Google and Google Scholar. You receive a permanent DOI for your items, making it easy for other researchers to cite your work. Depositing research in DRUM can help you satisfy data management and sharing requirements from the NSF, NIH, and other funding agencies and journals.",https://www.lib.umd.edu/data/drum-for-data,,"Archive papers, data, and other materials  in the University's public repository","archive data,share data,preserve data,deposit code,deposit documents,image gallery,document storage,research products,create and publish open data,archive and preserve data",Develop your research idea;Fund your research;Perform your research;Close out your project;Communicate and disseminate results,Plan for data collection and management;Plan for data management and IT infrastructure;Manage your data;Archive and disseminate data;Archive and disseminate data,Technology Services,UMCP,Campuswide,1::Develop your research idea;2::Fund your research;4::Perform your research;5::Close out your project;6::Communicate and disseminate results,104::Plan for data collection and management;204::Plan for data management and IT infrastructure;403::Manage your data;503::Archive and disseminate data;606::Archive and disseminate data
57,Budget Guidance,"The budget serves to identify the cost of the project to the sponsor. The budget also serves as a further measure of the Principal Investigator's capabilities since there must be a reasonable correlation between the project as described and the Principal Investigator's assessment of the various cost elements. This page includes templates for developing your budget and budget justification, as well as resources to help you estimate direct and indirect costs.",http://www.ora.umd.edu/resources/budget-guidance,,Find BSOS guidance for developing and implementing your budget,"Budget,participant support,human subject,budget template,justification,cost principles,direct cost,salary,fringe,equipment,supplies,travel,publication,subaward,vendor,consultant,subcontract,facilities and administrative,indirect cost,cost sharing",Fund your research;Manage your project,Build your budget;Manage your budget,Research Administration Guidance,UMCP,Campuswide,2::Fund your research;3::Manage your project,206::Build your budget;302::Manage your budget
6,Electronic System Training,"ORA offers training on using Kuali Research (KR) to find information about sponsored research awards and proposals.  ORA also offers training on KR data, using Reports.umd.edu, and developing and submitting proposals using various electronic systems.",http://www.ora.umd.edu/kualiresearch,http://www.ora.umd.edu/esubmissions,"Get trained on how to use Kuali Research, Reports.umd.edu, and grants.gov","training,Kuali Research,Reports.umd.edu,Grants.gov,submitting proposals electronically,electronic submission",Fund your research;Manage your project,Submit your proposal;Manage an award,Research Administration Guidance,UMCP,Campuswide,2::Fund your research;3::Manage your project,208::Submit your proposal;301::Manage an award
56,Office of Sponsored Research FAQs,"Do you have a question about sponsored research projects?  Check our FAQ's first!  Questions answered are related to: preparing to apply for funding, preparing a proposal, policies that impact research, routing a proposal, transferring and managing an award",http://www.ora.umd.edu/about/faq,,"Review frequently asked questions about preparing to apply for funding, preparing a proposal, policies that impact research, routing a proposal, transferring and managing an award","proposal,policy,routing,transfer,award,administration,fund,apply",Fund your research;Manage your project,Document research policies and practices;Manage your budget,Research Administration Guidance,UMCP,Campuswide,2::Fund your research;3::Manage your project,205::Document research policies and practices;302::Manage your budget
23,Bibliometrics and Altmetrics,"This guide walks you through bibliometrics and altmetrics to help you define and measure the impact of your scholarly work on the research community and general public. This includes impact factors, journal rankings, citation counts, and how these numbers and more can be used to tell your impact story to APT committees and funders.",http://lib.guides.umd.edu/bibliometrics,,Measure the impact of your work on the research community and general public,"bibliometrics,altmetrics,impact factors,journal rankings,journal citation,impact of scholarly work",Manage your project;Communicate and disseminate results,Measure research impact,Research Impact,UMCP,Campuswide,3::Manage your project;6::Communicate and disseminate results,608::Measure research impact
36,Webex,"Webex is the university's Web conferencing and collaboration platform. Webex includes integrated voice through your computer and on-campus dial-in at x50600. Webex enables faculty, staff, and students to meet with internal and external colleagues over the Internet using multi-party conferencing and screen sharing. WebEx is designed to work on PCs, Macs, smartphones, and tablets. Webex provides three ""centers"": 1) Meeting Center - Video conferencing in your personal virtual meeting room or in a scheduled room. 2)  Training Center - Lectures, labs and breakout sessions online and 3) Event Center - Large ""broadcast"" events and webinars Instructors or room ""owners"" control how others can communicate within the room; modes include: voice, video, presentations, and chat. Proceedings of a WebEx session can be recorded and shared with students within the ELMS course space via a link to the WebEx service.",https://umd.webex.com,https://umd.webex.com,Organize an online meeting or web conference,"web meeting,web conference,collaborate,share desktop",Manage your project;Perform your research,Collaborate with remote colleagues;Collaborate with remote colleagues,Technology Services,UMCP,Campuswide,3::Manage your project;4::Perform your research,308::Collaborate with remote colleagues;406::Collaborate with remote colleagues
79,HPC Software Available,"Need access to high performance computing software? The Deepthought2 cluster has over 100 different software packages available to users, including biojava, espresso, dart, mathematica, modeltest, nwchem, tophat, and more!",http://hpcc.umd.edu/hpcc/help/software.html,,Access high performance computing software,"software,high performance computing",Manage your project;Perform your research,Acquire equipment and software;Explore and analyze data,Technology Services,UMCP,Campuswide,3::Manage your project;4::Perform your research,304::Acquire equipment and software;404::Explore and analyze data
67,UMD Box Service,"Box is a cloud-based storage and collaboration system that provides a Web interface for uploading, downloading, sharing, and discussing files. Box is designed to work on Macs, PCs, smartphones, and tablets, so it gives you access to your files from just about anywhere.  Click on the See Also link below to find out more about using your UMD Box account.",https://umd.service-now.com/itsc?id=service&service=02edfc3f3708c20041271f9543990e5b&t=so,,Use cloud-based file storage for your project,"cloud,storage,file,collaborate,share",Manage your project;Perform your research,Collaborate with remote colleagues;Collaborate with remote colleagues,Technology Services,UMCP,Campuswide,3::Manage your project;4::Perform your research,308::Collaborate with remote colleagues;406::Collaborate with remote colleagues
66,University Libraries' Software Services,"The University Libraries' Digital Data Services program provides software development services to the broader communities and partners of the University of Maryland. Services include application development, application hosting and consultation on software engineering practices.",http://www.lib.umd.edu/dss/services/software,,"Get help automating processes, manipulating data, and building applications","software,software development,coding,application development,application hosting,data management,database,analyze,analysis,programming,programmer,developer",Develop your research idea;Fund your research;Perform your research;Close out your project;Communicate and disseminate results,Build a team;Plan for data collection and management;Plan for data management and IT infrastructure;Manage your data;Explore and analyze data;Archive and disseminate data;Archive and disseminate data,Technology Services,UMCP,Campuswide,1::Develop your research idea;2::Fund your research;4::Perform your research;5::Close out your project;6::Communicate and disseminate results,102::Build a team;104::Plan for data collection and management;204::Plan for data management and IT infrastructure;403::Manage your data;404::Explore and analyze data;503::Archive and disseminate data;606::Archive and disseminate data
29,Maryland Student Researchers Program,"Maryland Student Researchers (MSR) connects undergraduate students with professors seeking assistance with research projects. The MSR program consists of a database that enables professors to post details about their research opportunities, and permits undergraduates to search effectively for opportunities that are a good fit for their interests and qualifications.",https://ugresearch.umd.edu/searchresearchprojects.php,,Recruit undergraduate students to work on your research project,"research assistants,undergraduate student,professor mentor",Manage your project,Hire research assistants (students),Research Administration Guidance,UMCP,Campuswide,3::Manage your project,313::Hire research assistants (students)
95,Graduate Research Assistants,"The University is committed to ensuring that graduate assistant assignments are productive, enhance student qualifications, meet funding support and workload goals, and are consistent with the educational objectives of the student and his or her program.  The specific duties of Graduate Research Assistants (RAs) vary according to the nature of the research project in which they participate and the source of the funding.",https://www.gradschool.umd.edu/funding/assistantships,https://www.gradschool.umd.edu/funding/assistantships/stipend-memo,Review policies and stipend levels for graduate assistants,"student,research assistant,graduate assistant,stipend,assistant,grad student,RA",Manage your project,Hire research assistants (students),Research Administration Guidance,UMCP,Campuswide,3::Manage your project,313::Hire research assistants (students)
62,Procurement and Strategic Sourcing,The Department of Procurement and Strategic Sourcing can help you navigate the rules and regulations related to purchasing products or services from outside vendors.,http://www.purchase.umd.edu/sponsored_funds_guidelines.html,,Find guidelines for purchasing under sponsored funds,"purchase,procurement,subcontract,contract,vendor",Manage your project,Acquire equipment and software,Research Administration Guidance,UMCP,Campuswide,3::Manage your project,304::Acquire equipment and software
78,Qualtrics,"Need to conduct a survey for your research project? Develop your surveys online and distribute them by email or web link.  Surveys can be anonymous or linked to an individual or tracking number.  You must have UMD credentials to create and distribute, but surveys can be completed by anyone with internet access.",https://umd.service-now.com/itsc?id=kb_article_view&sys_kb_id=57cc11ba3703ca40a90963d2b3990e4e&sysparm_tsqueryId=334ca3b3dbf35788f7ccfff31d96198b&sysparm_rank=1,https://az1.qualtrics.com/login/sso/user/provision?state=_a00264857d955f354fe47fd08f1,Create and collect web-based surveys,"online survey,web-based survey,survey,collect data,questionnaire,collect data",Perform your research,"Acquire, collect or generate data",Technology Services,UMCP,Campuswide,4::Perform your research,"402::Acquire, collect or generate data"
88,Thesis & Dissertation Filing,"When your thesis or dissertation is complete, the Office of the Registrar delivers it to the university's Digital Repository at the University of Maryland (DRUM) for online publication. DRUM is an open-access archive that is accessible by everyone. The Office of the Registrar also supplies it to Proquest, who logs, indexes, and publishes them on Digital Dissertations, a nationwide clearinghouse of theses and dissertations, to which the vast majority of US theses and dissertations are submitted.",https://www.gradschool.umd.edu/students/academic-progress/thesis-and-dissertation-filing,,Archive your thesis or dissertation,"thesis,dissertation,graduate",Close out your project;Communicate and disseminate results,Archive and disseminate data;Archive and disseminate data,Technology Services,UMCP,Campuswide,5::Close out your project;6::Communicate and disseminate results,503::Archive and disseminate data;606::Archive and disseminate data
21,Author Rights,"Before you sign a publishing agreement with a journal or press, consult the experts in the University of Maryland Libraries about your right to reproduce and redistribute your work. We can help you understand your rights and options. We can also provide advice about open-access publishing.",http://lib.guides.umd.edu/content.php?pid=201235,,Understand your rights before you sign a publishing agreement,"reproducing your work,retaining copyright,publisher policies,open access,depositing in a repository,intellectual property,IP,document,publish,results",Close out your project;Communicate and disseminate results,Archive and disseminate data;Protect intellectual property;Protect intellectual property,Research Administration Guidance,UMCP,Campuswide,5::Close out your project;6::Communicate and disseminate results,503::Archive and disseminate data;505::Protect intellectual property;602::Protect intellectual property
87,Digital Scholarship and Publishing,"The University of Maryland Libraries can provide advice and assistance on all aspects of copyright and open access. We can help you deal with publishers, use other people's work, and use open licenses such as Creative Commons.",http://www.lib.umd.edu/publish,,Get copyright advice and assistance,"copyright,publishing,journal,author,open access",Close out your project;Communicate and disseminate results,Archive and disseminate data;Develop manuscript for publication,Research Administration Guidance,UMCP,Campuswide,5::Close out your project;6::Communicate and disseminate results,503::Archive and disseminate data;601::Develop manuscript for publication
15,Open Access Publishing Fund,Apply for funds to cover fees associated with open access publishing. The University of Maryland Libraries Open Access Publishing Fund covers article processing charges (APCs) levied by peer-reviewed open access journals. We can also help you assess the reputation and impact of an open-access journal or monograph publisher.,https://www.lib.umd.edu/oa/openaccessfund,,Apply for funding for open access publication,"open access,open access journals,article processing charges",Close out your project;Communicate and disseminate results,Archive and disseminate data;Develop manuscript for publication,Research Administration Guidance,UMCP,Campuswide,5::Close out your project;6::Communicate and disseminate results,503::Archive and disseminate data;601::Develop manuscript for publication
96,Key Areas and Themes,The Division of Research has organized university projects and centers into several key areas and themes to assist researchers in identifying work being done in those areas.,http://research.umd.edu/capabilities/areas-themes,,Identify university research priorities and work being done in those areas.,"research,priorities,projects,cybersecurity,information,language,culture,quantum,food,drugs,medical,sustainability,climate,terrorism,unmanned autonomous systems",Develop your research idea;Fund your research;Perform your research,"Develop and evaluate a research idea;Find a laboratory, instrument, or facility;Find a laboratory or instrument","Research Strategy, Planning and Partnerships",UMCP,Campuswide,1::Develop your research idea;2::Fund your research;4::Perform your research,"101::Develop and evaluate a research idea;203::Find a laboratory, instrument, or facility;401::Find a laboratory or instrument"
98,IRB Training,"Principal Investigators, Co-Pis and research team members must complete Human Subject Research Training before the Initial Application or Renewal Application can be fully approved.  All members of the research community are required to complete the CITI Training Refresher every three years.",http://www.umresearch.umd.edu/RCO/New/IRBTraining.html,,Participate in required training for Human Subjects Research,"training,human subjects,IRB,CITI,human participants,compliance,IRBNet,FCOI,HIPAA",Develop your research idea,Get training on research compliance,"Research Policy, Safety, Compliance, and Training",UMCP,Campuswide,1::Develop your research idea,106::Get training on research compliance
99,ESSR Training,"ESSR offers a variety of online and classroom-style training sessions on matters related to lab and environmental safety.  Also from this page, you can find a list of training requirements, information on developing lab specific training, training videos and pamphlets, and access to individual and departmental training records.",https://www.essr.umd.edu/training,,Identify safety training requirements and opportunities,"environment,lab,safety,biohazard,biosafety,pathogens,chemical,hazard,laboratory,laser,radiation,waste",Develop your research idea;Manage your project;Perform your research,Get training on research compliance;Comply with research policies and practices;Comply with research policies and practices,"Research Policy, Safety, Compliance, and Training",UMCP,Campuswide,1::Develop your research idea;3::Manage your project;4::Perform your research,106::Get training on research compliance;310::Comply with research policies and practices;409::Comply with research policies and practices
100,IACUC Training,"All personnel named on an Animal Study Protocol (ASP), incuding the PI, must complete the initial UMD PI/Animal User training course, as well as a 3-year refresher training. The initial in-person course is an opportunity to interact with the Attending Veterinarian and other DLAR staff, and provides information for enrolling in the Occupational Health program for animal researchers. New ASPs are not approved until all key personnel and the PI have completed this training. Proper animal care and use relies on the PI and all key personnel understanding the federal, local and campus regulations for the use of animals, being aware of campus resources for the support of studies involving animals, and having thorough knowledge of the research plan as described in the ASP. Ensuring that all members of the research team are properly informed helps us maintain the best possible care of the animals used in our research activities, and ensures highest standards of research excellence.",https://research.umd.edu/iacuc-training,,Review animal care and use training requirements and find out how to get training,"IACUC,animal research,training,compliance,laboratory animals",Develop your research idea,Get training on research compliance,"Research Policy, Safety, Compliance, and Training",UMCP,Campuswide,1::Develop your research idea,106::Get training on research compliance
101,Grants.gov,Grants.gov is the federal system for finding and applying for funding opportunities with the federal government.  Click the See Also link below to find ORA-sponsored training events on using the grants.gov system.,http://www.grants.gov/,http://www.ora.umd.edu/training/electronic/#grants,Find and apply for federal funding,"fund,apply,sponsor,grant,federal,grants.gov,opportunities,government",Fund your research,Find Funding Opportunities,Funding Opportunities,UMCP,Campuswide,2::Fund your research,201::Find Funding Opportunities
102,Partnerships with Industry and Government,"The University of Maryland engages in strategic partnerships with a variety of external organizations. Research and innovation generated through partnerships between academia, industry and government can help solve national and international challenges and spur economic development.",http://research.umd.edu/partnerships,,Partner with industry and government organizations to expand your research potential,"partner,industry,government,expand",Develop your research idea;Fund your research,"Build a team;Find a laboratory, instrument, or facility","Research Strategy, Planning and Partnerships",UMCP,Campuswide,1::Develop your research idea;2::Fund your research,"102::Build a team;203::Find a laboratory, instrument, or facility"
103,Facilities and Administrative Costs,"Facilities and Administrative costs are the indirect costs associated with research, such as buildings, operations and maintenance, libraries, central administration, and department administration.  Sponsored research budgets should request full reimbursement of F and A costs.",http://ora.umd.edu/resources/fa,,Find the F&A rate applicable to your project. Find a copy of the current F&A Rate Agreement.,"facilities,administrative,costs,budget",Fund your research,Build your budget,Research Administration Guidance,UMCP,Campuswide,2::Fund your research,206::Build your budget
104,University Travel Policy,"The University of Maryland's travel policies are intended to facilitate travel and travel arrangements; to provide reimbursement for necessary expenses; and to protect travelers against the risk of loss while simultaneously maintaining the necessary controls for accountability.  All travel is to be documented. Pre-approval is required for University of Maryland employee and sponsored visitor out-of-state and international travel. Pre-approval is required for University of Maryland travel which includes an overnight stay, regardless of whether the destination is in-state.",http://www.dbs.umd.edu/travel/policy/umtravel/trav_guide.php,,Follow appropriate travel policies when making arrangements and requesting reimbursement,"travel,reimbursement,arrangements,international,expenses",Fund your research;Manage your project,Build your budget;Manage your budget,Research Administration Guidance,UMCP,Campuswide,2::Fund your research;3::Manage your project,206::Build your budget;302::Manage your budget
105,Foreign Travel Approval Tools,"Review the appropriate University and Sponsor policies before making arrangements to travel internationally.  Find resources on what questions to ask, what airlines to use to comply with the Fly America Act and Open Skies Agreements, and checking with the Export Compliance Office before conducting international travel.",http://www.ora.umd.edu/resources/foreign-travel,,Find information on international travel arrangements,"foreign,travel,approval,expenses,reimbursement,Fly America,airline,export,air carrier,open skies",Manage your project,Manage your budget,Research Administration Guidance,UMCP,Campuswide,3::Manage your project,302::Manage your budget
13,Data Access and Security Planning,Planning for how you will share data with reviewers and other researchers is an important part of your data management plan.  Learn more about important considerations for data sharing and public access.,https://www.lib.umd.edu/data/dmp-guide#accessuse,,"Plan for sharing your data with reviewers, other researchers, and the public","data,data management,data access,data sharing,public access,repository,data center,archive",Develop your research idea;Fund your research,Plan for data collection and management;Plan for data management and IT infrastructure,Technology Services,UMCP,Campuswide,1::Develop your research idea;2::Fund your research,104::Plan for data collection and management;204::Plan for data management and IT infrastructure
44,Conflict of Interest (COI),"A conflict of interest occurs when a member of the University community is in a position to gain personal benefit or financial advantage from their University position, either through outside professional activities or through their actions or decisions at the University.",https://research.umd.edu/coi,,Prevent or manage potential conflicts of interest (COI),"COI,conflict of interest,compliance",Develop your research idea;Fund your research;Manage your project;Perform your research,Comply with research policies and practices;Document research policies and practices;Comply with research policies and practices;Comply with research policies and practices,"Research Policy, Safety, Compliance, and Training",UMCP,Campuswide,1::Develop your research idea;2::Fund your research;3::Manage your project;4::Perform your research,105::Comply with research policies and practices;205::Document research policies and practices;310::Comply with research policies and practices;409::Comply with research policies and practices
110,Template: UMD General Information,Boilerplate language is provided to help researchers with a general description of UMD.,https://research.umd.edu/sites/default/files/documents/UMD-Research-Template-General-UMD-Information-2018.docx,http://research.umd.edu/proposalwritingresources,Find example language about the University of Maryland,"University of Maryland,UMD,description,template,boilerplate,proposal",Fund your research,Develop your proposal,Templates and Boilerplate Language,UMCP,Campuswide,2::Fund your research,207::Develop your proposal
111,Template: Multiple PI or PD Leadership Plan,An template is provided that outlines the information required for a NIH multi-Principle Investigator or Project Director Leadership plan.,http://research.umd.edu/sites/default/files/documents/UMD-Research-Template-Multiple-PI-PD-Leadership-Plan.docx,http://research.umd.edu/proposalwritingresources,Find an example of a NIH multi-PI or PD leadership plan,"template,boilerplate,proposal,multiple PI,multiple PD,leadership plan,NIH,principle investigator,project director",Fund your research,Develop your proposal,Templates and Boilerplate Language,UMCP,Campuswide,2::Fund your research,207::Develop your proposal
113,Template: Support Letter,"A template is provided that outlines the information required in a support letter.  The support letter is written from a consultant or collaborator to the PI and is designed to: a) specify what the writer will contribute to the research, b) convince the reviewer that the writer will fulfill the request, c) convey enthusiasm for the work, d) lend credibility to your proposal.",https://research.umd.edu/sites/default/files/documents/UMD-Research-Template-Support-Letter_revised.docx,http://research.umd.edu/proposalwritingresources,Find an example of a support letter,"template,boilerplate,proposal,support,letter,consultant,collaborator",Fund your research,Develop your proposal,Templates and Boilerplate Language,UMCP,Campuswide,2::Fund your research,207::Develop your proposal
114,Template: Post-Doc Mentoring Plan,A template is provided that outlines the information that can be included in a post-doctoral mentoring plan.,https://research.umd.edu/sites/default/files/documents/Postdoctoral%20Mentoring%20PLan%20UMD%20General.docx,http://research.umd.edu/proposalwritingresources,Find an example of a post-doctoral mentoring plan,"template,boilerplate,proposal,post-doctoral,mentoring plan",Fund your research,Develop your proposal,Templates and Boilerplate Language,UMCP,Campuswide,2::Fund your research,207::Develop your proposal
116,Template: Consultant Letter,A template is provided that outlines the information required in a consultant letter.  The consultant letter can be used by University researchers who plan to consult on external projects without the use of University facilities or equipment.,https://research.umd.edu/sites/default/files/documents/UMD-Research-Template-Consultant-Letter.docx,http://research.umd.edu/proposalwritingresources,Find example language for writing a consultant letter,"template,boilerplate,proposal,consultant,letter",Fund your research,Develop your proposal,Templates and Boilerplate Language,UMCP,Campuswide,2::Fund your research,207::Develop your proposal
54,Proposal Writing Workshops,The UMD Division of Research holds regular workshops to provide researchers with proposal writing resources on a variety of different topics.,http://research.umd.edu/workshops,,Find a variety of proposal writing resources from UMD Division of Research workshops for researchers,"proposal,grant,fund,workshop",Fund your research,Develop your proposal,Proposal Writing,UMCP,Campuswide,2::Fund your research,207::Develop your proposal
93,Research Development Services,The Research Development Office provides a variety of services to support UMD's research enterprise.,http://research.umd.edu/development/services,,Learn more about services offered by the Research Development Office,"research development,research,proposal",Fund your research,Develop your proposal,Proposal Writing,UMCP,Campuswide,2::Fund your research,207::Develop your proposal
107,Subaward Closeout,"Subawards must be officially closed at the end of the contract or award.  At closeout, the PI officially attests that the terms and conditions have been met, all deliverables have been received and are acceptable, final invoices have been processed, and no further action is required.",http://www.ora.umd.edu/forms/umd#subclose,http://www.ora.umd.edu/resources/subawards,Download the form for subaward closeout,"subaward,closeout",Close out your project,Close subawards,Research Administration Guidance,UMCP,Campuswide,5::Close out your project,502::Close subawards
8,Sponsored Research Handbook,"The Sponsored Research Handbook contains most of the policies and procedures that relate to sponsored research, service, and training at the University of Maryland, College Park. It covers the development of proposals, review of proposals, submission of proposals soliciting external support, and the establishment and administration of sponsored project accounts.",http://www.ora.umd.edu/proposal-development/sponsored-research-handbook,,Find an overview of policies and procedures that relate to sponsored research at UMD,"sponsored research,policies,procedures,proposal,manage,award,grant,contract",Fund your research;Manage your project,Develop your proposal;Manage an award,Research Administration Guidance,UMCP,Campuswide,2::Fund your research;3::Manage your project,207::Develop your proposal;301::Manage an award
80,Visualization Lectures,"Using graphics, images, maps, diagrams or animations is an effective way to communicate your research data and tell a story about your findings.  The Campus Visualization Partnership (CVP) hosts visualization lectures to help researchers develop eye catching and accurate graphics.",http://viz.umd.edu,,Develop eye catching graphics to display your data,"graphic,image,diagram,animation,maps,geo-spatial,findings,analyze data",Perform your research;Communicate and disseminate results,Explore and analyze data;Develop manuscript for publication,Technology Services,UMCP,Campuswide,4::Perform your research;6::Communicate and disseminate results,404::Explore and analyze data;601::Develop manuscript for publication
40,Storage and Backup For-Fee Services,"Find out more about IT's Networked-Storage, SAN Storage, Data Protection, and Data Archive Services.",https://umd.service-now.com/itsc?id=sc_category&sys_id=9c892cd66f83e60051281ecbbb3ee447&filter=all&t=sc,,"Store, protect and archive your research data","data storage,data protection,archive,data,backup,network drive",Fund your research;Manage your project;Perform your research;Close out your project,Plan for data management and IT infrastructure;Acquire equipment and software;Manage your data;Archive and disseminate data,Technology Services,UMCP,Campuswide,2::Fund your research;3::Manage your project;4::Perform your research;5::Close out your project,204::Plan for data management and IT infrastructure;304::Acquire equipment and software;403::Manage your data;503::Archive and disseminate data
117,Template: UMD Libraries,"Boilerplate language is provided to help researchers with a description of the capabilities of the UMD libraries and services offered.  Researchers can draw from this general description the elements most pertinent to your grant proposal.
Please work with your subject librarian (find yours at http://www.lib.umd.edu/rc/meet-your-librarian) to identify resources that will directly benefit your project and strengthen your funding proposal.",https://umd.box.com/libraryboilerplate,http://www.lib.umd.edu/rc/meet-your-librarian,Find example language about the University of Maryland,"University of Maryland,UMD,description,template,boilerplate,proposal,libraries,DRUM,partnership,library,database",Fund your research,Develop your proposal,Templates and Boilerplate Language,UMCP,Campuswide,2::Fund your research,207::Develop your proposal
118,Template: Budgets,"This Office of Research Administration site provides several templates for developing your budget, as well as a sample budget justification, and other pertinent information.",http://ora.umd.edu/resources/budget-guidance,,Download ORA budget templates and budget justification templates.,"template,boilerplate,proposal,consultant,letter",Fund your research,Develop your proposal,Templates and Boilerplate Language,UMCP,Campuswide,2::Fund your research,207::Develop your proposal
120,Human-Computer Interaction Lab (HCIL),"The HCIL develops advanced user interfaces and design methodology. Primary activities include collaborative research, publication and the sponsorship of open houses, workshops and symposiums.",http://hcil.umd.edu/,,Research advanced user interfaces and design methodology,"advanced computing,collaborative,human-computer,HCI,mobile technology,wearable technology,accessibility,citizen science,computational journalism,technology design,digital humanities,digital libraries,science education,open data,visualization,security",Develop your research idea;Fund your research;Perform your research,"Build a team;Find a laboratory, instrument, or facility;Find a laboratory, instrument, or facility;Find a laboratory or instrument",Campus Research Facilities,UMCP,Campuswide,1::Develop your research idea;2::Fund your research;4::Perform your research,"102::Build a team;103::Find a laboratory, instrument, or facility;203::Find a laboratory, instrument, or facility;401::Find a laboratory or instrument"
121,University of Maryland Institute for Advanced Computer Studies (UMIACS),The mission of UMIACS is to catalyze research in computing and interdisciplinary applications of computing. UMIACS has fostered and enhanced strong interdisciplinary research programs which have greatly facilitated our national and international leadership role in multi-disciplinary computing.,http://www.umiacs.umd.edu/,,Collaborate on research in advanced computing,"advanced computing,national defense,precision medicine,big data,cybersecurity,language,culture,computational science,engineering,computational biology,sensing,modeling,simulation",Develop your research idea;Fund your research;Perform your research,"Build a team;Find a laboratory, instrument, or facility;Find a laboratory, instrument, or facility;Find a laboratory or instrument",Campus Research Facilities,UMCP,Campuswide,1::Develop your research idea;2::Fund your research;4::Perform your research,"102::Build a team;103::Find a laboratory, instrument, or facility;203::Find a laboratory, instrument, or facility;401::Find a laboratory or instrument"
122,Center for Scientific Computation and Mathematical Modeling (CSCAMM),"The primary goal of the Center for Scientific Computation and Mathematical Modeling (CSCAMM) is to foster research and educational activities that highlight novel computational algorithms and mathematical modeling and their interplay with physical science, biological science, and engineering.",http://www.cscamm.umd.edu/,,Research novel computational algorithms and mathematical modeling,"physical science,biological science,engineering,computational algorithms,mathematical modeling",Develop your research idea;Fund your research;Perform your research,"Build a team;Find a laboratory, instrument, or facility;Find a laboratory, instrument, or facility;Find a laboratory or instrument",Campus Research Facilities,UMCP,Campuswide,1::Develop your research idea;2::Fund your research;4::Perform your research,"102::Build a team;103::Find a laboratory, instrument, or facility;203::Find a laboratory, instrument, or facility;401::Find a laboratory or instrument"
123,Center for Automation Research,"The Center for Automation Research (CfAR) at the University of Maryland is a leader in research and education involving computer vision, computer visualization, perceptual interfaces, and language and media processing.",http://www.cfar.umd.edu/,,"Research computer visualization, perceptual interfaces, and language processing","computer vision,computer visualization,graphics,visual informatics,perceptual interfaces,language processing,media processing,computational acoustics",Develop your research idea;Fund your research;Perform your research,"Build a team;Find a laboratory, instrument, or facility;Find a laboratory, instrument, or facility;Find a laboratory or instrument",Campus Research Facilities,UMCP,Campuswide,1::Develop your research idea;2::Fund your research;4::Perform your research,"102::Build a team;103::Find a laboratory, instrument, or facility;203::Find a laboratory, instrument, or facility;401::Find a laboratory or instrument"
124,Joint Center for Quantum Information and Computer Science (QuICS),"QuICS advances research and education in quantum computer science and quantum information theory, aiming to understand and advance the power of quantum systems to process information.",http://www.umerc.umd.edu/,,Research quantum computer science and quantum information theory,"quantum computer science,quantum information theory,advanced computing",Develop your research idea;Fund your research;Perform your research,"Build a team;Find a laboratory, instrument, or facility;Find a laboratory, instrument, or facility;Find a laboratory or instrument",Campus Research Facilities,UMCP,Campuswide,1::Develop your research idea;2::Fund your research;4::Perform your research,"102::Build a team;103::Find a laboratory, instrument, or facility;203::Find a laboratory, instrument, or facility;401::Find a laboratory or instrument"
